PassengerId,Age,SibSp,Parch,Fare,FamilySize,Pclass_2,Pclass_3,Pclass_nan,Sex_male,Sex_nan,Embarked_NAN,Embarked_Q,Embarked_S,Embarked_nan,IsAlone_1,IsAlone_nan,Title_Col,Title_Don,Title_Dona,Title_Dr,Title_Jonkheer,Title_Lady,Title_Major,Title_Master,Title_Miss,Title_Mlle,Title_Mme,Title_Mr,Title_Mrs,Title_Ms,Title_Rev,Title_Sir,Title_the Countess,Title_nan,"FareBin_(-0.001, 7.91]","FareBin_(14.454, 31.0]","FareBin_(14.454, 31.5]","FareBin_(31.0, 512.329]","FareBin_(31.5, 512.329]","FareBin_(7.896, 14.454]","FareBin_(7.91, 14.454]",FareBin_nan,"AgeBin_(-0.08, 16.0]","AgeBin_(15.2, 30.4]","AgeBin_(16.0, 32.0]","AgeBin_(30.4, 45.6]","AgeBin_(32.0, 48.0]","AgeBin_(45.6, 60.8]","AgeBin_(48.0, 64.0]","AgeBin_(60.8, 76.0]","AgeBin_(64.0, 80.0]",AgeBin_nan,Survived
1,22.0,1,0,7.25,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,38.0,1,0,71.2833,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
3,26.0,0,0,7.925,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
4,35.0,1,0,53.1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
5,35.0,0,0,8.05,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
6,28.0,0,0,8.4583,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
7,54.0,0,0,51.8625,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,2.0,3,1,21.075,5,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9,27.0,0,2,11.1333,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
10,14.0,1,0,30.0708,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
